func,algo,best,mean,std,median,worst
F9,CMA-ES,696.2438252553766,4190.642716237521,2608.9555918769065,3660.323154278421,7816.5810964463235
F15,CA,457.192890431566,1011.8097722146066,285.3718239614283,1047.594854595115,1644.294434417955
F15,CA-static,379.7188609341376,1042.4380953685024,310.0060543881276,966.0992757497836,1816.3876537715755
F15,GWO,591.4186374083474,1424.802277405998,540.0906671742866,1388.407655682346,2430.754441615346
F15,PSO,488.16914897610695,1135.179743019499,331.12992870636697,1127.8010055847606,1852.686817927748
F15,GA,452.1282892904746,1114.3169300320872,302.21728823082765,1127.3127063216743,1687.898166791958
F15,WOA,1527.6511872861452,2729.109562576765,885.4244587859741,2617.6894985842973,5302.616605864997
F15,L-SHADE,169.71804448704074,673.7560786752895,217.05595632657656,686.5022346712503,1126.0668316655729
F15,CMA-ES,32.58291985826418,269.4092483551786,179.10900852530122,256.8829719494988,638.5781225173023
F16,CA,90.53726098849825,445.4347076152888,184.2843733685137,436.8121156436341,832.5499896631864
F16,CA-static,84.10601588803593,419.8129412227148,194.03598353620424,410.39833873425073,830.5277398441053
F16,GWO,267.03492389440044,714.4282768974796,295.9091218152513,689.0883015785787,1386.9907451969343
F16,PSO,98.63430244071289,488.64390975644017,217.99486668714255,509.44224552498736,912.0153337594676
F16,GA,60.08665554782306,700.6815106947477,275.4561538936904,675.6639064090239,1310.9221728877556
F16,WOA,931.3299633963552,1564.3985569338547,467.0204125429857,1542.2438421517309,2906.631763347331
F16,L-SHADE,64.01902155623088,211.05364322363397,104.64688332838764,200.9356261513641,389.14980078270446
F16,CMA-ES,64.88020219491091,176.12563553616832,95.67834848049633,145.55008005021818,511.2682508587786
F19,CA,202.5255400567953,298.7500026628939,116.54120558169824,243.17176519420832,613.8614746644239
F19,CA-static,87.40911452541286,361.7070486548674,133.41813218051848,365.1829137313184,652.7615634035419
F19,GWO,215.4918565109301,673.0641911662218,308.7232893542512,648.6838655018953,1276.2919258625716
F19,PSO,205.2197103098888,402.3256071124937,160.591010000294,417.15883983741696,822.4589888143587
F19,GA,71.75764052825343,662.6391299078066,246.58307904582813,653.886476147374,1131.4619015835349
F19,WOA,420.7680846717644,939.3584710249538,249.36664502114525,963.8402251256044,1534.367017000125
F19,L-SHADE,70.42831001352852,264.42519580148894,116.7335258426093,237.9750632710384,494.0294050161865
F19,CMA-ES,60.75227187137807,259.1990540071485,186.80585601437025,167.31942833998505,762.4734936612185
F21,CA,100.0867738329116,346.43024735993424,914.4562692992369,103.20693860944084,4087.121643740224
F21,CA-static,100.0728339387656,728.8598565356201,1423.479199755208,103.2039101128671,4688.088895932468
F21,GWO,201.517738729578,4445.198985099685,3012.200903278982,3702.112638915008,8749.526010328656
F21,PSO,106.46545249284328,2069.9580903809515,1906.295076020773,976.3072594675202,6213.309364569712
F21,GA,103.29660187302716,3031.6879664677504,2011.4842072118745,3894.1513369261775,5544.376848000682
F21,WOA,4056.42481326903,6477.949349129559,1179.1308694560976,6485.3567484046125,8178.018688142445
F21,L-SHADE,100.00210643170794,774.2055088600247,1181.0335063472112,107.2970320732361,3487.041778122284
F21,CMA-ES,100.00002249725412,2337.183913776608,2063.0001960341674,1733.7228952118182,7623.329573362085
